found flag name = just_a_test
found flag dataset = /home/ubuntu/data/chicago_taxi/chicago_taxi_trips_sort3.bin
found flag workload = /home/ubuntu/correlations/continuous/chicago_taxi_combined/queries_entangled_5_w100_uniform.dat
found flag visitor = index
found flag mapping-file = /home/ubuntu/correlations/continuous/chicago_taxi_combined/chicago_taxi_combined_a10.k1.5_3.mapping
found flag outlier-list = /home/ubuntu/correlations/continuous/chicago_taxi_combined/chicago_taxi_combined_a10.k1.5_3.outliers
found flag target-bucket-file = /home/ubuntu/correlations/continuous/chicago_taxi_combined/chicago_taxi_combined_a10.k1.5_3.targets
found flag save = results/just_a_test.dat
Dimension is 9
Loaded 1000 queries
Loaded dataset and workload
Found 320285 outliers
Reading 337 mapped buckets
mapping
Finished loading mapping-file
Finished loading target-buckets-file
Finished coaslescing map
Sorting data...
Initialized Correlation Index with column 5
Time to sort and finalize data: 0.101758s
Not using datacubes
Compression time: 8.81097s
Indexer sizei (B): 2765920
Index creation time: 8.92676s
Starting queries...
True: 703, scanned range = 58477, scanned list = 655
True: 12, scanned range = 0, scanned list = 12
True: 2, scanned range = 0, scanned list = 2
True: 2, scanned range = 0, scanned list = 2
True: 177739, scanned range = 21144961, scanned list = 53316
True: 833, scanned range = 115979, scanned list = 743
True: 1, scanned range = 0, scanned list = 1
True: 5, scanned range = 0, scanned list = 5
True: 42, scanned range = 10277, scanned list = 40
True: 1, scanned range = 0, scanned list = 1
True: 1, scanned range = 0, scanned list = 1
True: 4, scanned range = 0, scanned list = 4
True: 603, scanned range = 65126, scanned list = 565
True: 1, scanned range = 0, scanned list = 1
True: 86, scanned range = 1650, scanned list = 85
True: 109, scanned range = 16668, scanned list = 98
True: 2, scanned range = 0, scanned list = 2
True: 2, scanned range = 0, scanned list = 2
True: 81, scanned range = 10537, scanned list = 78
True: 1, scanned range = 0, scanned list = 1
True: 32, scanned range = 2671, scanned list = 29
True: 2, scanned range = 0, scanned list = 2
True: 15, scanned range = 0, scanned list = 15
True: 35, scanned range = 1105, scanned list = 34
True: 15, scanned range = 0, scanned list = 15
True: 103, scanned range = 16668, scanned list = 93
True: 2, scanned range = 0, scanned list = 2
True: 2, scanned range = 0, scanned list = 2
True: 1, scanned range = 0, scanned list = 1
True: 1, scanned range = 0, scanned list = 1
True: 11, scanned range = 0, scanned list = 11
True: 520, scanned range = 32043, scanned list = 498
True: 1372, scanned range = 725457, scanned list = 965
True: 4, scanned range = 1031, scanned list = 3
True: 1, scanned range = 0, scanned list = 1
True: 2, scanned range = 0, scanned list = 2
True: 4, scanned range = 0, scanned list = 4
True: 1, scanned range = 0, scanned list = 1
True: 1, scanned range = 0, scanned list = 1
True: 722, scanned range = 717201, scanned list = 541
True: 4, scanned range = 0, scanned list = 4
True: 58, scanned range = 0, scanned list = 58
True: 28813635, scanned range = 194057833, scanned list = 0
True: 2, scanned range = 0, scanned list = 2
True: 11, scanned range = 0, scanned list = 11
True: 3, scanned range = 0, scanned list = 3
True: 205, scanned range = 17079, scanned list = 190
True: 22, scanned range = 0, scanned list = 22
True: 469, scanned range = 35245, scanned list = 435
True: 1, scanned range = 0, scanned list = 1
True: 27241, scanned range = 4136613, scanned list = 11741
True: 6, scanned range = 0, scanned list = 6
True: 8, scanned range = 440, scanned list = 7
True: 52593, scanned range = 7968884, scanned list = 16277
True: 1, scanned range = 0, scanned list = 1
True: 240, scanned range = 17442, scanned list = 230
True: 27215, scanned range = 4136613, scanned list = 11724
True: 4, scanned range = 0, scanned list = 4
True: 1137, scanned range = 180334, scanned list = 953
True: 3, scanned range = 0, scanned list = 3
True: 9, scanned range = 450, scanned list = 9
True: 248, scanned range = 20527, scanned list = 240
True: 2, scanned range = 0, scanned list = 2
True: 242, scanned range = 32454, scanned list = 227
True: 5, scanned range = 0, scanned list = 5
True: 1490, scanned range = 278532, scanned list = 1090
True: 33, scanned range = 3538, scanned list = 31
True: 79, scanned range = 4752, scanned list = 77
True: 4, scanned range = 410, scanned list = 3
True: 1, scanned range = 697, scanned list = 0
True: 9, scanned range = 440, scanned list = 8
True: 79418, scanned range = 21140951, scanned list = 19905
True: 6, scanned range = 0, scanned list = 6
True: 8, scanned range = 1306, scanned list = 8
True: 31, scanned range = 9065, scanned list = 227
True: 95, scanned range = 450, scanned list = 95
True: 1957, scanned range = 374378, scanned list = 1402
True: 3, scanned range = 0, scanned list = 3
True: 34, scanned range = 6467, scanned list = 32
True: 60, scanned range = 4698, scanned list = 58
True: 117, scanned range = 16668, scanned list = 106
True: 23, scanned range = 1761, scanned list = 20
True: 1, scanned range = 0, scanned list = 1
True: 132, scanned range = 8990, scanned list = 128
True: 4, scanned range = 450, scanned list = 3
True: 1, scanned range = 0, scanned list = 1
True: 156692, scanned range = 21144961, scanned list = 49231
True: 2, scanned range = 0, scanned list = 2
True: 12959, scanned range = 17020278, scanned list = 4038
True: 4, scanned range = 0, scanned list = 4
True: 71, scanned range = 4752, scanned list = 70
True: 3757, scanned range = 297797, scanned list = 3495
True: 68, scanned range = 1446, scanned list = 67
True: 2, scanned range = 0, scanned list = 2
True: 1, scanned range = 0, scanned list = 1
True: 58062, scanned range = 17018185, scanned list = 27759
True: 1, scanned range = 0, scanned list = 1
True: 7, scanned range = 2159, scanned list = 5
True: 4, scanned range = 0, scanned list = 4
True: 3, scanned range = 0, scanned list = 3
True: 3, scanned range = 0, scanned list = 3
True: 4, scanned range = 1031, scanned list = 3
True: 96, scanned range = 1650, scanned list = 95
True: 2, scanned range = 0, scanned list = 2
True: 33, scanned range = 3538, scanned list = 31
True: 15, scanned range = 412, scanned list = 14
True: 17, scanned range = 5873, scanned list = 16
True: 4, scanned range = 0, scanned list = 4
True: 5, scanned range = 0, scanned list = 5
True: 515, scanned range = 32043, scanned list = 492
True: 1, scanned range = 0, scanned list = 1
True: 1, scanned range = 0, scanned list = 1
True: 20404, scanned range = 2571693, scanned list = 7876
True: 1, scanned range = 0, scanned list = 1
True: 1, scanned range = 0, scanned list = 1
True: 1, scanned range = 0, scanned list = 1
True: 1, scanned range = 0, scanned list = 1
True: 6, scanned range = 0, scanned list = 6
