found flag name = just_a_test
found flag dataset = /home/ubuntu/data/chicago_taxi/chicago_taxi_trips_sort3.bin
found flag workload = /home/ubuntu/correlations/continuous/chicago_taxi_combined/queries_5_w500_uniform.dat
found flag visitor = index
found flag mapping-file = /home/ubuntu/correlations/continuous/chicago_taxi_combined/chicago_taxi_combined_a10.k1.5_3.mapping
found flag outlier-list = /home/ubuntu/correlations/continuous/chicago_taxi_combined/chicago_taxi_combined_a10.k1.5_3.outliers
found flag target-bucket-file = /home/ubuntu/correlations/continuous/chicago_taxi_combined/chicago_taxi_combined_a10.k1.5_3.targets
found flag save = results/just_a_test.dat
Dimension is 9
Loaded 1000 queries
Loaded dataset and workload
Found 320285 outliers
Reading 337 mapped buckets
mapping
Finished loading mapping-file
Finished loading target-buckets-file
Finished coaslescing map
Sorting data...
Initialized Correlation Index with column 5
Time to sort and finalize data: 0.10117s
Not using datacubes
Compression time: 8.70125s
Indexer sizei (B): 2765920
Index creation time: 8.81637s
Starting queries...
True: 4316, scanned range = 735593, scanned list = 3295
True: 6, scanned range = 1755, scanned list = 5
True: 3, scanned range = 0, scanned list = 3
True: 12836770, scanned range = 194066000, scanned list = 0
True: 258, scanned range = 2551, scanned list = 256
True: 24280, scanned range = 1349224, scanned list = 14606
True: 6643, scanned range = 732058, scanned list = 5204
True: 7, scanned range = 0, scanned list = 7
True: 3, scanned range = 0, scanned list = 3
True: 7, scanned range = 0, scanned list = 7
True: 1659, scanned range = 315972, scanned list = 1430
True: 22, scanned range = 0, scanned list = 22
True: 1, scanned range = 0, scanned list = 1
True: 399, scanned range = 15718, scanned list = 384
True: 1, scanned range = 0, scanned list = 1
True: 1, scanned range = 0, scanned list = 1
True: 2, scanned range = 0, scanned list = 2
True: 4, scanned range = 0, scanned list = 4
True: 1, scanned range = 0, scanned list = 1
True: 38, scanned range = 2609, scanned list = 35
True: 1, scanned range = 0, scanned list = 1
True: 170992431, scanned range = 194069412, scanned list = 0
True: 7, scanned range = 0, scanned list = 7
True: 3, scanned range = 0, scanned list = 3
True: 20, scanned range = 0, scanned list = 20
True: 13, scanned range = 1106, scanned list = 12
True: 7, scanned range = 0, scanned list = 7
True: 7, scanned range = 0, scanned list = 7
True: 3, scanned range = 0, scanned list = 3
True: 32, scanned range = 0, scanned list = 32
True: 6, scanned range = 0, scanned list = 6
True: 1, scanned range = 0, scanned list = 1
True: 2, scanned range = 0, scanned list = 2
True: 14, scanned range = 1106, scanned list = 13
True: 2, scanned range = 0, scanned list = 2
True: 3, scanned range = 0, scanned list = 3
True: 5, scanned range = 816, scanned list = 4
True: 17, scanned range = 0, scanned list = 17
True: 18, scanned range = 0, scanned list = 18
True: 2, scanned range = 0, scanned list = 2
True: 4291, scanned range = 735593, scanned list = 3286
True: 35, scanned range = 792, scanned list = 35
True: 54, scanned range = 732, scanned list = 52
True: 2, scanned range = 0, scanned list = 2
True: 37, scanned range = 1922, scanned list = 33
True: 30, scanned range = 460, scanned list = 29
True: 12, scanned range = 0, scanned list = 12
True: 15, scanned range = 0, scanned list = 15
True: 2, scanned range = 0, scanned list = 2
True: 1, scanned range = 0, scanned list = 1
True: 3840, scanned range = 156983, scanned list = 3517
True: 5, scanned range = 0, scanned list = 5
True: 1, scanned range = 0, scanned list = 1
True: 39, scanned range = 3375, scanned list = 37
True: 2, scanned range = 0, scanned list = 2
True: 1, scanned range = 0, scanned list = 1
True: 10, scanned range = 0, scanned list = 10
True: 143, scanned range = 4395, scanned list = 141
True: 5, scanned range = 0, scanned list = 5
True: 143, scanned range = 4395, scanned list = 141
True: 8, scanned range = 0, scanned list = 8
True: 1, scanned range = 0, scanned list = 1
True: 6442, scanned range = 733578, scanned list = 5124
True: 5, scanned range = 0, scanned list = 5
True: 12, scanned range = 0, scanned list = 12
True: 18, scanned range = 8, scanned list = 17
True: 7, scanned range = 0, scanned list = 7
True: 86, scanned range = 1221, scanned list = 84
True: 16, scanned range = 8, scanned list = 15
True: 51441, scanned range = 2068609, scanned list = 25555
